film_id,year,average
0,2021,4.741319444444445
0,2022,3.642857142857143
1,2021,6.9796875
1,2022,7.25
2,2021,5.416267942583732
2,2022,5.333333333333333
3,2021,6.092198581560283
3,2022,5.181818181818182
4,2021,5.617529880478088
4,2022,6.142857142857143
5,2021,4.401129943502825
5,2022,4.666666666666667
6,1998,10.0
6,1999,6.666666666666667
6,2000,10.0
6,2001,9.375
6,2002,9.571428571428571
6,2003,8.2
6,2004,6.5
6,2005,8.214285714285714
6,2006,7.882352941176471
6,2007,9.0
6,2008,7.0
6,2009,8.8
6,2010,8.2
6,2011,8.0
6,2012,7.666666666666667
6,2013,6.875
6,2014,8.142857142857142
6,2015,7.75
6,2016,6.8
6,2017,4.5
6,2018,7.928571428571429
6,2019,7.423076923076923
6,2020,7.403846153846154
6,2021,7.931034482758621
7,1998,9.0
7,1999,8.75
7,2000,8.10344827586207
7,2001,8.476190476190476
7,2002,7.953488372093023
7,2003,8.73611111111111
7,2004,8.345454545454546
7,2005,7.84375
7,2006,8.08433734939759
7,2007,8.552238805970148
7,2008,8.695652173913043
7,2009,7.916666666666667
7,2010,8.205882352941176
7,2011,8.35135135135135
7,2012,8.62962962962963
7,2013,7.517241379310345
7,2014,8.333333333333334
7,2015,8.2
7,2016,8.666666666666666
7,2017,7.714285714285714
7,2018,8.444444444444445
7,2019,8.233333333333333
7,2020,8.393258426966293
7,2021,8.722222222222221
7,2022,10.0
8,2021,4.396991497710922
8,2022,4.829268292682927
9,2021,5.718446601941747
9,2022,5.416666666666667
10,1998,7.757575757575758
10,1999,8.348837209302326
10,2000,7.835616438356165
10,2001,8.557377049180328
10,2002,8.415094339622641
10,2003,8.205882352941176
10,2004,8.657142857142857
10,2005,8.595744680851064
10,2006,8.441176470588236
10,2007,8.125
10,2008,7.954545454545454
10,2009,8.789473684210526
10,2010,8.11111111111111
10,2011,8.096774193548388
10,2012,8.333333333333334
10,2013,8.25
10,2014,7.647058823529412
10,2015,8.31578947368421
10,2016,8.0
10,2017,8.529411764705882
10,2018,7.142857142857143
10,2019,8.088888888888889
10,2020,8.23728813559322
10,2021,7.9222222222222225
10,2022,10.0
11,2021,7.242647058823529
11,2022,7.0
12,2018,5.776641091219096
12,2019,6.037861915367484
12,2020,6.10738255033557
12,2021,5.804347826086956
13,2021,5.533653846153846
13,2022,5.294117647058823
14,2021,8.857142857142858
15,1998,7.444444444444445
15,1999,8.162162162162161
15,2000,8.131578947368421
15,2001,8.695652173913043
15,2002,8.4
15,2003,7.886363636363637
15,2004,8.6
15,2005,8.487804878048781
15,2006,8.27027027027027
15,2007,8.142857142857142
15,2008,8.5
15,2009,8.409090909090908
15,2010,8.333333333333334
15,2011,9.0
15,2012,7.944444444444445
15,2013,8.75
15,2014,8.956521739130435
15,2015,8.115384615384615
15,2016,8.368421052631579
15,2017,7.529411764705882
15,2018,8.862068965517242
15,2019,8.290322580645162
15,2020,8.238095238095237
15,2021,8.508771929824562
15,2022,7.0
16,2021,4.727272727272728
16,2022,3.5
17,1998,8.333333333333334
17,1999,9.133333333333333
17,2000,7.933333333333334
17,2001,8.566666666666666
17,2002,8.8125
17,2003,8.911764705882353
17,2004,9.333333333333334
17,2005,8.483870967741936
17,2006,8.03125
17,2007,8.142857142857142
17,2008,7.545454545454546
17,2009,6.785714285714286
17,2010,8.6875
17,2011,8.666666666666666
17,2012,6.1
17,2013,7.857142857142857
17,2014,8.166666666666666
17,2015,6.0
17,2016,7.928571428571429
17,2017,9.0
17,2018,6.363636363636363
17,2019,8.933333333333334
17,2020,8.73076923076923
17,2021,7.724137931034483
19,2021,5.332492431886982
19,2022,6.611111111111111
20,2021,5.063492063492063
20,2022,5.75
21,2019,4.890575585072739
21,2020,4.675590551181102
21,2021,4.836671802773497
21,2022,6.928571428571429
22,2021,6.026385224274407
22,2022,6.545454545454546
23,2017,6.451
23,2018,6.2539267015706805
23,2019,6.560773480662983
23,2020,6.48936170212766
23,2021,6.738095238095238
23,2022,7.8
24,2021,4.861581920903955
24,2022,4.805084745762712
25,2021,5.065420560747664
25,2022,3.5
26,1998,7.4
26,1999,8.642857142857142
26,2000,7.578947368421052
26,2001,8.117647058823529
26,2002,8.058823529411764
26,2003,7.470588235294118
26,2004,7.083333333333333
26,2005,8.0
26,2006,7.846153846153846
26,2007,5.916666666666667
